kontostand,dauer,kredithistorie,zweck,kreditbetrag,ersparnisse,beschaeftigt_seit,rate_vs_einkommen,geschlecht,mitschuldner,meldeadresse_seit,vermoegen,alter,verpflichtungen,wohnung,bestehende_kredite,job,unterhaltspflichtig,telefon,ergebnis,status
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,1264,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,57,keine,Miete,1,ungelernt / angestellt,1,nein,1,single
mehr als 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1474,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,1,Immobilien,33,Bank,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
unter 200 DM,45,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,4746,weniger als 100,weniger als 1 Jahr,4,maennlich,keine,2,Immobilien,25,keine,Eigentum,2,ungelernt / angestellt,1,nein,2,single
Kein Konto,48,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,6110,weniger als 100,zwischen 1 und 4 Jahren,1,maennlich,keine,3,unbekannt / kein Vermoegen,31,Bank,kostenlos,1,Facharbeiter / Beamter,1,ja,1,single
mehr als 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2100,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,weiterer Kreditnehmer,2,unbekannt / kein Vermoegen,37,Laden,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
mehr als 200 DM,10,Alle Kredite bei dieser Bank puenktlich bezahlt,Haushaltsgeraete,1225,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,Auto,37,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,458,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,3,unbekannt / kein Vermoegen,24,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,30,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2333,zwischen 500 und 1.000,laenger als 7 Jahre,4,maennlich,keine,2,Auto,30,Bank,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,nein,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1158,zwischen 500 und 1.000,zwischen 1 und 4 Jahren,3,maennlich,keine,1,Auto,26,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,geschieden / getrennt
unter 200 DM,18,Bestehender Kredit wird puenktlich bedient,Reparaturen,6204,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,4,unbekannt / kein Vermoegen,44,keine,Eigentum,1,ungelernt / angestellt,2,ja,1,single
im Dispo,30,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,6187,zwischen 100 und 500,zwischen 4 und 7 Jahren,1,maennlich,keine,4,Auto,24,keine,Miete,2,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
im Dispo,48,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,6143,weniger als 100,laenger als 7 Jahre,4,weiblich,keine,4,unbekannt / kein Vermoegen,58,Laden,kostenlos,2,ungelernt / angestellt,1,nein,2,single
Kein Konto,11,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1393,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,4,Auto,35,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,nein,1,single
Kein Konto,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2299,zwischen 500 und 1.000,laenger als 7 Jahre,4,maennlich,keine,4,Auto,39,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,1352,zwischen 500 und 1.000,arbeitslos,1,weiblich,keine,2,Immobilien,23,keine,Miete,1,ungelernt/nicht angestellt,1,ja,1,single
Kein Konto,11,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,7228,weniger als 100,zwischen 1 und 4 Jahren,1,maennlich,keine,4,Immobilien,39,keine,Eigentum,2,ungelernt / angestellt,1,nein,1,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2073,zwischen 100 und 500,zwischen 1 und 4 Jahren,4,weiblich,weiterer Kreditnehmer,2,unbekannt / kein Vermoegen,28,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,24,Bestehender Kredit wird puenktlich bedient,Moebel,2333,unbekannt / kein Konto,weniger als 1 Jahr,4,maennlich,keine,2,Immobilien,29,Bank,Eigentum,1,ungelernt / angestellt,1,nein,1,single
unter 200 DM,27,Bestehender Kredit wird puenktlich bedient,Gebrauchtwagen,5965,weniger als 100,laenger als 7 Jahre,1,maennlich,keine,2,Auto,30,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1262,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,keine,2,Auto,25,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,3378,unbekannt / kein Konto,zwischen 1 und 4 Jahren,2,maennlich,keine,1,Immobilien,31,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,36,Bestehender Kredit wird puenktlich bedient,Neuwagen,2225,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,57,Bank,kostenlos,2,Facharbeiter / Beamter,1,ja,2,single
Kein Konto,6,keine Kredite/puenktliche Zahlung,Neuwagen,783,unbekannt / kein Konto,zwischen 1 und 4 Jahren,1,maennlich,Buerge,2,unbekannt / kein Vermoegen,26,Laden,Eigentum,1,ungelernt / angestellt,2,nein,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,6468,unbekannt / kein Konto,arbeitslos,2,maennlich,keine,1,unbekannt / kein Vermoegen,52,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,single
Kein Konto,36,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,9566,weniger als 100,zwischen 1 und 4 Jahren,2,weiblich,keine,2,Auto,31,Laden,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
mehr als 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1961,weniger als 100,laenger als 7 Jahre,3,weiblich,keine,2,Auto,23,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,nein,1,single
im Dispo,36,Kritisches Konto / Kredite bei anderer Bank,Moebel,6229,weniger als 100,weniger als 1 Jahr,4,weiblich,weiterer Kreditnehmer,4,unbekannt / kein Vermoegen,23,keine,Miete,2,ungelernt / angestellt,1,ja,2,single
unter 200 DM,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,1391,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,1,unbekannt / kein Vermoegen,27,Bank,Eigentum,1,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
unter 200 DM,15,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1537,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,Buerge,4,unbekannt / kein Vermoegen,50,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,36,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,1953,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,61,keine,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,single
unter 200 DM,48,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,14421,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,Auto,25,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,2,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3181,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,4,Immobilien,26,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,27,Alle Kredite bei dieser Bank puenktlich bezahlt,Reparaturen,5190,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,Immobilien,48,keine,Eigentum,4,Facharbeiter / Beamter,2,ja,1,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2171,weniger als 100,weniger als 1 Jahr,2,weiblich,keine,2,Auto,29,Bank,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1007,ueber 1.000,zwischen 1 und 4 Jahren,4,maennlich,keine,1,unbekannt / kein Vermoegen,22,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
Kein Konto,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Ausbildung,1819,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,4,unbekannt / kein Vermoegen,37,Laden,kostenlos,1,Facharbeiter / Beamter,1,ja,2,single
Kein Konto,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2394,unbekannt / kein Konto,zwischen 1 und 4 Jahren,4,weiblich,keine,4,Auto,25,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,8133,weniger als 100,zwischen 1 und 4 Jahren,1,weiblich,keine,2,Immobilien,30,Bank,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,7,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,730,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,2,Immobilien,46,keine,Miete,2,ungelernt / angestellt,1,ja,1,single
im Dispo,8,Kritisches Konto / Kredite bei anderer Bank,Anderes,1164,weniger als 100,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,51,Bank,kostenlos,2,"Management, selbstaendig, hochqualifiziert",2,ja,1,single
unter 200 DM,42,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,5954,weniger als 100,zwischen 4 und 7 Jahren,2,weiblich,keine,1,unbekannt / kein Vermoegen,41,Bank,Eigentum,2,ungelernt / angestellt,1,nein,1,single
im Dispo,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Ausbildung,1977,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,40,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,single
im Dispo,12,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,1526,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,66,keine,kostenlos,2,"Management, selbstaendig, hochqualifiziert",1,nein,1,single
im Dispo,42,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3965,weniger als 100,weniger als 1 Jahr,4,maennlich,keine,3,Auto,34,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
unter 200 DM,11,Bestehender Kredit wird puenktlich bedient,Unterhaltungselektronik,4771,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,4,Immobilien,51,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,54,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,9436,unbekannt / kein Konto,zwischen 1 und 4 Jahren,2,maennlich,keine,2,Immobilien,39,keine,Eigentum,1,ungelernt / angestellt,2,nein,1,single
unter 200 DM,30,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3832,weniger als 100,weniger als 1 Jahr,2,maennlich,keine,1,Immobilien,22,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,5943,unbekannt / kein Konto,weniger als 1 Jahr,1,weiblich,keine,1,Auto,44,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,2,single
Kein Konto,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1213,zwischen 500 und 1.000,laenger als 7 Jahre,4,maennlich,keine,3,Immobilien,47,Laden,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,1568,zwischen 100 und 500,zwischen 1 und 4 Jahren,3,weiblich,keine,4,Immobilien,24,keine,Miete,1,ungelernt / angestellt,1,nein,1,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Anderes,1755,weniger als 100,laenger als 7 Jahre,4,weiblich,Buerge,4,unbekannt / kein Vermoegen,58,keine,Eigentum,1,ungelernt / angestellt,1,ja,1,single
im Dispo,10,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2315,weniger als 100,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,52,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,1412,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,Buerge,2,unbekannt / kein Vermoegen,29,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
unter 200 DM,18,Kritisches Konto / Kredite bei anderer Bank,Moebel,1295,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,1,Immobilien,27,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Ausbildung,12612,zwischen 100 und 500,zwischen 1 und 4 Jahren,1,maennlich,keine,4,unbekannt / kein Vermoegen,47,keine,kostenlos,1,Facharbeiter / Beamter,2,ja,2,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,2249,zwischen 100 und 500,zwischen 4 und 7 Jahren,4,maennlich,keine,3,Auto,30,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",2,ja,1,single
im Dispo,12,Kritisches Konto / Kredite bei anderer Bank,Reparaturen,1108,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,3,unbekannt / kein Vermoegen,28,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,618,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,56,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,12,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,1409,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,3,unbekannt / kein Vermoegen,54,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,797,unbekannt / kein Konto,laenger als 7 Jahre,4,weiblich,keine,3,Immobilien,33,Bank,Eigentum,1,ungelernt / angestellt,2,nein,2,single
mehr als 200 DM,24,Kritisches Konto / Kredite bei anderer Bank,Moebel,3617,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,weiterer Kreditnehmer,4,unbekannt / kein Vermoegen,20,keine,Miete,2,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1318,ueber 1.000,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,54,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,54,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,15945,weniger als 100,weniger als 1 Jahr,3,maennlich,keine,4,unbekannt / kein Vermoegen,58,keine,Miete,1,Facharbeiter / Beamter,1,ja,2,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,2012,unbekannt / kein Konto,zwischen 4 und 7 Jahren,4,weiblich,keine,2,Auto,61,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,2622,zwischen 100 und 500,zwischen 1 und 4 Jahren,4,maennlich,keine,4,Auto,34,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,36,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,2337,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,36,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,20,Bestehender Kredit wird puenktlich bedient,Gebrauchtwagen,7057,unbekannt / kein Konto,zwischen 4 und 7 Jahren,3,maennlich,keine,4,Immobilien,36,Bank,Miete,2,"Management, selbstaendig, hochqualifiziert",2,ja,1,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1469,zwischen 100 und 500,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,41,keine,Miete,1,ungelernt / angestellt,1,nein,1,verheiratet / verwitwet
unter 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2323,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,4,Auto,24,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,6,Bestehender Kredit wird puenktlich bedient,Unterhaltungselektronik,932,weniger als 100,zwischen 1 und 4 Jahren,3,weiblich,keine,2,unbekannt / kein Vermoegen,24,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,9,Kritisches Konto / Kredite bei anderer Bank,Moebel,1919,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,3,Auto,35,keine,Miete,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,2445,unbekannt / kein Konto,weniger als 1 Jahr,2,maennlich,keine,4,Auto,26,keine,Miete,1,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
unter 200 DM,24,Kritisches Konto / Kredite bei anderer Bank,Anderes,11938,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,weiterer Kreditnehmer,3,Auto,39,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",2,ja,2,single
Kein Konto,18,keine Kredite/puenktliche Zahlung,Neuwagen,6458,weniger als 100,laenger als 7 Jahre,2,maennlich,keine,4,unbekannt / kein Vermoegen,39,Bank,Eigentum,2,"Management, selbstaendig, hochqualifiziert",2,ja,2,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,6078,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,2,Auto,32,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
